n,k,version,time1,time2
10,64,1,2.0361199975e-01,1.1219996959e-03
10,64,2,6.4080003649e-03,1.3971000910e-02
10,128,1,3.9547299966e-01,1.2020003051e-03
10,128,2,9.0829990804e-03,1.5169996768e-03
10,200,1,5.1644800045e-01,1.1379998177e-03
10,200,2,1.6286998987e-02,1.6999989748e-03
10,256,1,5.9811799973e-01,1.1199992150e-03
10,256,2,1.5827000141e-02,1.1640004814e-03
10,512,1,1.0990769994e+00,1.7760004848e-03
10,512,2,2.8580000624e-02,1.0890010744e-03
10,600,1,1.3289790004e+00,1.7179995775e-03
10,600,2,3.3467000350e-02,1.1200010777e-03
10,800,1,1.8039449994e+00,1.7339996994e-03
10,800,2,5.4657001048e-02,1.1959988624e-03
10,1024,1,2.3422269989e+00,1.7480012029e-03
10,1024,2,5.6864999235e-02,1.1320002377e-03
10,2000,1,4.6882450003e+00,2.1850001067e-03
10,2000,2,1.1060100049e-01,1.1580009013e-03
10,3000,1,8.0799340010e+00,1.3589989394e-03
10,3000,2,1.7887299880e-01,1.0969992727e-03
10,4096,1,1.0149449000e+01,1.8619988114e-03
10,4096,2,2.2612600029e-01,1.1090002954e-03
10,6000,1,1.7267347999e+01,1.8530003726e-03
10,6000,2,3.5718700103e-01,1.1520013213e-03
10,7000,1,1.6797197999e+01,1.8210001290e-03
10,7000,2,4.3087499961e-01,1.1500008404e-03
10,10000,1,2.4445195001e+01,1.6820002347e-03
10,10000,2,6.3007700071e-01,1.2860000134e-03
10,50000,1,1.1660020100e+02,1.8159989268e-03
10,50000,2,3.1158009991e+00,1.1260006577e-03
10,100000,1,2.3037974600e+02,1.8459986895e-03
10,100000,2,5.8307109997e+00,1.1550001800e-03
10,1000000,1,2.3027034270e+03,2.1689999849e-03
10,1000000,2,6.2462420000e+01,1.1340007186e-03
10,10000000,1,2.3186723308e+04,1.8109995872e-03
10,10000000,2,6.1695949400e+02,1.2449994683e-03
10,100000000,1,2.2670085838e+05,1.8700007349e-03
10,100000000,2,5.8481167130e+03,1.6029998660e-03
1000,64,1,1.1777391580e+03,1.3132945200e+02
1000,64,2,7.2341450000e+01,2.7497494900e+02
1000,128,1,2.2965528310e+03,1.2738686700e+02
1000,128,2,1.0121530300e+02,1.2917178500e+02
1000,200,1,3.5424486490e+03,1.2190890100e+02
1000,200,2,1.2929275300e+02,1.2674666400e+02
1000,256,1,4.5633841920e+03,1.2490523600e+02
1000,256,2,1.6641556900e+02,1.2821414600e+02
1000,512,1,9.0291029300e+03,1.3465359400e+02
1000,512,2,2.9701180700e+02,1.3133086800e+02
1000,600,1,1.0515877391e+04,1.2811561600e+02
1000,600,2,3.3076042800e+02,1.3048312800e+02
1000,800,1,1.4007934036e+04,1.2808552600e+02
1000,800,2,4.3347217100e+02,1.2644242600e+02
1000,1024,1,1.7951308383e+04,1.3128177900e+02
1000,1024,2,5.4351963700e+02,1.3332293700e+02
1000,2000,1,3.5233316689e+04,1.3188512500e+02
1000,2000,2,1.0136042510e+03,1.8920316900e+02
1000,3000,1,5.3544638103e+04,1.3561029000e+02
1000,3000,2,1.6510604600e+03,1.4452591300e+02
1000,4096,1,7.1715216825e+04,1.3757672100e+02
1000,4096,2,2.2897038190e+03,1.2478488700e+02
1000,6000,1,1.0472717968e+05,1.3197872500e+02
1000,6000,2,3.0883662270e+03,1.3226612900e+02
1000,7000,1,1.2338737964e+05,1.4187488200e+02
1000,7000,2,4.0648622520e+03,1.4389774400e+02
1000,10000,1,1.7697247624e+05,1.4453742400e+02
1000,10000,2,5.7889072230e+03,1.4889853300e+02
1000,50000,1,8.8951084220e+05,1.4185493400e+02
1000,50000,2,2.8432262993e+04,1.3947021700e+02
1000,100000,1,1.7965619913e+06,2.2252610600e+02
1000,100000,2,5.4209386057e+04,1.3651190600e+02
