n,k,version,time1,time2
10,64,1,1.6789899999e-01,1.1860000086e-03
10,64,2,1.1422999989e-02,1.3610000024e-03
10,128,1,4.1036799998e-01,1.1179999856e-03
10,128,2,2.5318999978e-02,1.2159999751e-03
10,200,1,5.2786800000e-01,1.2069999939e-03
10,200,2,9.2751999997e-02,1.1979999836e-03
10,256,1,6.6629500000e-01,1.1050000030e-03
10,256,2,6.7985000001e-02,1.7050000024e-03
10,512,1,1.1673550000e+00,1.6610000166e-03
10,512,2,1.4601499998e-01,1.2179999903e-03
10,600,1,1.3618840000e+00,1.8620000046e-03
10,600,2,1.3071500001e-01,1.1680000171e-03
10,800,1,1.8149820000e+00,2.6199999847e-03
10,800,2,1.8337600000e-01,1.1459999951e-03
10,1024,1,2.3645840000e+00,1.7329999828e-03
10,1024,2,2.2918900003e-01,1.5770000173e-03
10,2000,1,5.4736090000e+00,1.7080000252e-03
10,2000,2,5.8008500002e-01,1.2359999819e-03
10,3000,1,7.4618720000e+00,1.7200000002e-03
10,3000,2,7.1909899998e-01,1.2080000015e-03
10,4096,1,1.3324381000e+01,1.8629999831e-03
10,4096,2,1.1438059999e+00,1.1650000233e-03
10,6000,1,1.7612576000e+01,1.7339999904e-03
10,6000,2,1.6500280000e+00,1.1599999852e-03
10,7000,1,1.6815190000e+01,1.7210000078e-03
10,7000,2,2.4630530000e+00,1.1899999809e-03
10,10000,1,2.6043058000e+01,1.8160000327e-03
10,10000,2,3.1793460000e+00,1.1780000059e-03
10,50000,1,1.1998429200e+02,1.7789999838e-03
10,50000,2,3.2266039000e+01,2.2119999630e-03
10,100000,1,2.3553526500e+02,1.7949999892e-03
10,100000,2,9.4478189000e+01,1.8890000065e-03
10,1000000,1,2.3454894950e+03,1.1850000010e-03
10,1000000,2,1.1849816860e+03,2.0610000356e-03
10,10000000,1,2.3168235024e+04,1.8469999777e-03
10,10000000,2,1.0645469545e+04,1.9639999955e-03
10,100000000,1,2.2682684235e+05,1.2339999666e-03
10,100000000,2,,
1000,64,1,1.2345442160e+03,1.7565893700e+02
1000,64,2,5.5386914000e+01,1.6375087600e+02
1000,128,1,2.3789152950e+03,1.3466192500e+02
1000,128,2,1.3294814700e+02,1.3941743900e+02
1000,200,1,3.6568076650e+03,1.4051156300e+02
1000,200,2,2.1656718300e+02,1.2416897000e+02
1000,256,1,4.6275891540e+03,1.2491986900e+02
1000,256,2,2.8040663000e+02,1.3913307800e+02
1000,512,1,9.1636598040e+03,1.3209120800e+02
1000,512,2,9.3479911500e+02,2.0404321300e+02
1000,600,1,1.0805203345e+04,1.3127433300e+02
1000,600,2,1.2688215620e+03,1.5805000400e+02
1000,800,1,1.4306449944e+04,2.2223656200e+02
1000,800,2,1.7645692310e+03,1.2704463600e+02
1000,1024,1,1.8756997335e+04,1.4189181400e+02
1000,1024,2,3.2685429520e+03,1.3224824100e+02
1000,2000,1,3.6474313893e+04,1.4351110200e+02
1000,2000,2,8.5390793050e+03,1.7687692900e+02
1000,3000,1,5.4602929102e+04,1.3357341300e+02
1000,3000,2,1.3840787034e+04,1.4984646200e+02
1000,4096,1,7.4584330016e+04,1.3527244000e+02
1000,4096,2,1.9555772615e+04,1.3146130700e+02
1000,6000,1,1.1017126741e+05,1.4511813500e+02
1000,6000,2,2.9426217176e+04,1.3019659100e+02
1000,7000,1,1.2349714453e+05,1.2447046100e+02
1000,7000,2,3.3706568431e+04,1.5877582900e+02
1000,10000,1,1.7795114206e+05,1.3733499900e+02
1000,10000,2,4.8572675704e+04,1.3743091100e+02
1000,50000,1,9.1055417081e+05,1.3919657300e+02
1000,50000,2,3.9113701419e+05,1.2683644900e+02
1000,100000,1,1.7334777807e+06,1.2172615300e+02
1000,100000,2,9.1235162799e+05,1.2054959100e+02
