STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.798583353 GHz,
TABLE,Region v1_montaSL,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.004488,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,36185990
CPU_CLK_UNHALTED_CORE,FIXC1,17143440
CPU_CLK_UNHALTED_REF,FIXC2,7936425
MEM_LOAD_RETIRED_L3_HIT,PMC0,95
MEM_LOAD_RETIRED_L3_MISS,PMC1,34
UOPS_RETIRED_ALL,PMC2,43251260
TABLE,Region v1_montaSL,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0045,
Runtime unhalted [s],0.0095,
Clock [MHz],3885.1127,
CPI,0.4738,
L3 request rate,2.982572e-06,
L3 miss rate,7.861043e-07,
L3 miss ratio,0.2636,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.798583353 GHz,
TABLE,Region v1_eliminacaoGauss,Group 1 Raw,L3CACHE,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,11774
CPU_CLK_UNHALTED_CORE,FIXC1,15973
CPU_CLK_UNHALTED_REF,FIXC2,7350
MEM_LOAD_RETIRED_L3_HIT,PMC0,54
MEM_LOAD_RETIRED_L3_MISS,PMC1,2
UOPS_RETIRED_ALL,PMC2,14649
TABLE,Region v1_eliminacaoGauss,Group 1 Metric,L3CACHE,7
Metric,HWThread 3,
Runtime (RDTSC) [s],1.273352e-06,
Runtime unhalted [s],8.880878e-06,
Clock [MHz],3908.6764,
CPI,1.3566,
L3 request rate,0.0038,
L3 miss rate,0.0001,
L3 miss ratio,0.0357,
