STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799988945 GHz,
TABLE,Region v2_montaSL,Group 1 Raw,ENERGY,8
Region Info,HWThread 3,
RDTSC Runtime [s],29.461970,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,30147350000
CPU_CLK_UNHALTED_CORE,FIXC1,110663500000
CPU_CLK_UNHALTED_REF,FIXC2,51598580000
TEMP_CORE,TMP0,82
PWR_PKG_ENERGY,PWR0,373.7795
PWR_PP0_ENERGY,PWR1,290.1980
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,23.3344
TABLE,Region v2_montaSL,Group 1 Metric,ENERGY,13
Metric,HWThread 3,
Runtime (RDTSC) [s],29.4620,
Runtime unhalted [s],61.4801,
Clock [MHz],3860.4372,
CPI,3.6708,
Temperature [C],82,
Energy [J],373.7795,
Power [W],12.6868,
Energy PP0 [J],290.1980,
Power PP0 [W],9.8499,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],23.3344,
Power DRAM [W],0.7920,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799988945 GHz,
TABLE,Region v2_eliminacaoGauss,Group 1 Raw,ENERGY,8
Region Info,HWThread 3,
RDTSC Runtime [s],0.194491,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,528506900
CPU_CLK_UNHALTED_CORE,FIXC1,699727500
CPU_CLK_UNHALTED_REF,FIXC2,329453000
TEMP_CORE,TMP0,91
PWR_PKG_ENERGY,PWR0,3.3777
PWR_PP0_ENERGY,PWR1,2.7556
PWR_PP1_ENERGY,PWR2,0
PWR_DRAM_ENERGY,PWR3,0.2783
TABLE,Region v2_eliminacaoGauss,Group 1 Metric,ENERGY,13
Metric,HWThread 3,
Runtime (RDTSC) [s],0.1945,
Runtime unhalted [s],0.3887,
Clock [MHz],3823.0089,
CPI,1.3240,
Temperature [C],91,
Energy [J],3.3777,
Power [W],17.3668,
Energy PP0 [J],2.7556,
Power PP0 [W],14.1680,
Energy PP1 [J],0,
Power PP1 [W],0,
Energy DRAM [J],0.2783,
Power DRAM [W],1.4307,
