STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799286932 GHz,
TABLE,Region v2_montaSL,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000033,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,437117
CPU_CLK_UNHALTED_CORE,FIXC1,140778
CPU_CLK_UNHALTED_REF,FIXC2,65175
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,6600
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,31817
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,13200
TABLE,Region v2_montaSL,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],3.349511e-05,
Runtime unhalted [s],0.0001,
Clock [MHz],3886.4598,
CPI,0.3221,
DP [MFLOP/s],2920.3367,
AVX DP [MFLOP/s],1576.3495,
Packed [MUOPS/s],591.1311,
Scalar [MUOPS/s],949.8999,
Vectorization ratio [%],38.3595,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,1.799286932 GHz,
TABLE,Region v2_eliminacaoGauss,Group 1 Raw,FLOPS_DP,6
Region Info,HWThread 3,
RDTSC Runtime [s],0.000001,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,12075
CPU_CLK_UNHALTED_CORE,FIXC1,17511
CPU_CLK_UNHALTED_REF,FIXC2,7875
FP_ARITH_INST_RETIRED_128B_PACKED_DOUBLE,PMC0,56
FP_ARITH_INST_RETIRED_SCALAR_DOUBLE,PMC1,353
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC2,152
TABLE,Region v2_eliminacaoGauss,Group 1 Metric,FLOPS_DP,9
Metric,HWThread 3,
Runtime (RDTSC) [s],1.304282e-06,
Runtime unhalted [s],9.732189e-06,
Clock [MHz],4000.9287,
CPI,1.4502,
DP [MFLOP/s],822.6749,
AVX DP [MFLOP/s],466.1569,
Packed [MUOPS/s],159.4747,
Scalar [MUOPS/s],270.6470,
Vectorization ratio [%],37.0766,
